INSTITUTION,FULL_FARE,STUDENT,TEACHER,SIXTY_YEARS_OLD,TICKET,CHILD,PERSONNEL,FREE;INSTITUTION;FULL_FARE;STUDENT;TEACHER;SIXTY_YEARS_OLD;TICKET;CHILD;PERSONNEL;FREE
Tramvay Konak,29699,19691,664,1350,55,6,1883,11460;Tramvay Konak;29699;19691;664;1350;55;6;1883;11460
BİSİM,8,10,1,0,0,0,0,0;BİSİM;8;10;1;0;0;0;0;0
Eshot,315826,267509,5810,13979,162,212,21803,163756;Eshot;315826;267509;5810;13979;162;212;21803;163756
İzban,113012,65865,2259,3463,213,6,4764,35164;İzban;113012;65865;2259;3463;213;6;4764;35164
Izdeniz,21176,7452,335,846,445,3,879,5811;Izdeniz;21176;7452;335;846;445;3;879;5811
Izulas,72986,58404,1226,3125,30,67,4363,39817;Izulas;72986;58404;1226;3125;30;67;4363;39817
Metro,118159,88648,2207,4612,288,47,6937,39149;Metro;118159;88648;2207;4612;288;47;6937;39149
NOSTALJİK TRAMVAY,11,9,0,0,1,0,0,0;NOSTALJİK TRAMVAY;11;9;0;0;1;0;0;0
Seferihisar Mot. Taş. Kooperat,3883,2237,121,144,0,1,276,2704;Seferihisar Mot. Taş. Kooperat;3883;2237;121;144;0;1;276;2704
Teleferik,0,0,0,0,0,0,0,0;Teleferik;0;0;0;0;0;0;0;0
Tramvay Karşıyaka,9821,5438,201,525,27,0,274,4901;Tramvay Karşıyaka;9821;5438;201;525;27;0;274;4901
Tramvay Konak,29991,20004,656,1302,43,6,1589,11628;Tramvay Konak;29991;20004;656;1302;43;6;1589;11628
BİSİM,7,3,0,0,0,0,0,0;BİSİM;7;3;0;0;0;0;0;0
Eshot,308791,264287,5715,13085,179,229,21437,150082;Eshot;308791;264287;5715;13085;179;229;21437;150082
İzban,112074,65216,2333,3242,302,8,4832,31615;İzban;112074;65216;2333;3242;302;8;4832;31615
Izdeniz,18473,6944,322,684,315,4,788,4843;Izdeniz;18473;6944;322;684;315;4;788;4843
