INSTITUTION,FULL_FARE,STUDENT,TEACHER,SIXTY_YEARS_OLD,TICKET,CHILD,PERSONNEL,FREE;INSTITUTION;FULL_FARE;STUDENT;TEACHER;SIXTY_YEARS_OLD;TICKET;CHILD;PERSONNEL;FREE
Teleferik,68,17,0,1,0,0,0,0;Teleferik;68;17;0;1;0;0;0;0
Tramvay Karşıyaka,9618,6822,219,502,18,0,294,4743;Tramvay Karşıyaka;9618;6822;219;502;18;0;294;4743
Tramvay Konak,28264,21701,707,1293,48,3,1623,11423;Tramvay Konak;28264;21701;707;1293;48;3;1623;11423
BİSİM,25,23,0,0,0,0,0,0;BİSİM;25;23;0;0;0;0;0;0
Eshot,266066,157430,2821,11181,179,154,15792,131917;Eshot;266066;157430;2821;11181;179;154;15792;131917
İzban,106758,55031,1592,2772,323,4,3560,30511;İzban;106758;55031;1592;2772;323;4;3560;30511
Izdeniz,26175,12336,566,778,1178,4,438,6729;Izdeniz;26175;12336;566;778;1178;4;438;6729
Izulas,74578,43886,640,3010,45,52,4057,37227;Izulas;74578;43886;640;3010;45;52;4057;37227
Metro,107324,60431,1725,4110,649,22,3727,32788;Metro;107324;60431;1725;4110;649;22;3727;32788
NOSTALJİK TRAMVAY,135,98,7,0,3,0,1,9;NOSTALJİK TRAMVAY;135;98;7;0;3;0;1;9
Seferihisar Mot. Taş. Kooperat,4409,2325,72,177,4,0,249,2476;Seferihisar Mot. Taş. Kooperat;4409;2325;72;177;4;0;249;2476
Teleferik,309,122,13,1,0,0,0,0;Teleferik;309;122;13;1;0;0;0;0
Tramvay Karşıyaka,12778,9312,285,478,62,0,267,5370;Tramvay Karşıyaka;12778;9312;285;478;62;0;267;5370
Tramvay Konak,30096,21335,661,1066,138,5,1035,10533;Tramvay Konak;30096;21335;661;1066;138;5;1035;10533
BİSİM,53,33,1,0,0,0,0,0;BİSİM;53;33;1;0;0;0;0;0
Eshot,183283,116868,1440,7257,182,115,10429,96807;Eshot;183283;116868;1440;7257;182;115;10429;96807
İzban,77772,41726,855,1894,281,9,2270,21437;İzban;77772;41726;855;1894;281;9;2270;21437
Izdeniz,15630,7229,170,276,1025,3,228,3010;Izdeniz;15630;7229;170;276;1025;3;228;3010
Izulas,49749,30925,296,1803,31,28,2715,26160;Izulas;49749;30925;296;1803;31;28;2715;26160
Metro,60844,38695,693,1696,391,18,2133,17399;Metro;60844;38695;693;1696;391;18;2133;17399
NOSTALJİK TRAMVAY,109,91,1,0,1,0,1,7;NOSTALJİK TRAMVAY;109;91;1;0;1;0;1;7
Seferihisar Mot. Taş. Kooperat,3328,1760,44,120,1,0,177,2098;Seferihisar Mot. Taş. Kooperat;3328;1760;44;120;1;0;177;2098
Teleferik,404,117,4,0,0,0,0,0;Teleferik;404;117;4;0;0;0;0;0
Tramvay Karşıyaka,8164,6263,129,205,35,0,179,2733;Tramvay Karşıyaka;8164;6263;129;205;35;0;179;2733
Tramvay Konak,17663,13380,245,476,78,5,698,5459;Tramvay Konak;17663;13380;245;476;78;5;698;5459
BİSİM,6,6,0,0,0,0,0,0;BİSİM;6;6;0;0;0;0;0;0
Eshot,325998,274274,5990,15225,131,173,23842,188794;Eshot;325998;274274;5990;15225;131;173;23842;188794
İzban,116364,69277,2345,3681,289,10,5264,39474;İzban;116364;69277;2345;3681;289;10;5264;39474
Izdeniz,19364,7566,343,785,450,1,1052,6164;Izdeniz;19364;7566;343;785;450;1;1052;6164
Izulas,78025,59975,1286,3661,31,61,4910,48284;Izulas;78025;59975;1286;3661;31;61;4910;48284
Metro,125285,81165,2286,5092,471,29,8041,44604;Metro;125285;81165;2286;5092;471;29;8041;44604
NOSTALJİK TRAMVAY,31,16,0,1,0,0,0,0;NOSTALJİK TRAMVAY;31;16;0;1;0;0;0;0
Seferihisar Mot. Taş. Kooperat,4406,2634,149,171,1,0,311,3230;Seferihisar Mot. Taş. Kooperat;4406;2634;149;171;1;0;311;3230
Teleferik,0,0,0,0,0,0,0,0;Teleferik;0;0;0;0;0;0;0;0
Tramvay Karşıyaka,9723,6308,209,495,32,1,256,5527;Tramvay Karşıyaka;9723;6308;209;495;32;1;256;5527
Tramvay Konak,30994,21528,730,1511,69,13,1816,13647;Tramvay Konak;30994;21528;730;1511;69;13;1816;13647
BİSİM,12,19,0,0,0,0,0,0;BİSİM;12;19;0;0;0;0;0;0
Eshot,310399,273590,6085,14588,138,147,23548,173153;Eshot;310399;273590;6085;14588;138;147;23548;173153
İzban,111205,66757,2381,3601,284,6,5250,37293;İzban;111205;66757;2381;3601;284;6;5250;37293
Izdeniz,16067,6246,301,668,336,1,977,5034;Izdeniz;16067;6246;301;668;336;1;977;5034
Izulas,74553,60469,1321,3503,24,50,4650,45109;Izulas;74553;60469;1321;3503;24;50;4650;45109
Metro,124288,83352,2418,5262,414,24,8256,45502;Metro;124288;83352;2418;5262;414;24;8256;45502
NOSTALJİK TRAMVAY,29,24,1,0,1,0,0,0;NOSTALJİK TRAMVAY;29;24;1;0;1;0;0;0
Seferihisar Mot. Taş. Kooperat,4190,2521,140,152,0,2,299,2925;Seferihisar Mot. Taş. Kooperat;4190;2521;140;152;0;2;299;2925
Teleferik,39,12,0,0,0,0,0,0;Teleferik;39;12;0;0;0;0;0;0
Tramvay Karşıyaka,8852,5872,205,573,28,0,266,5066;Tramvay Karşıyaka;8852;5872;205;573;28;0;266;5066
Tramvay Konak,28311,20242,718,1295,41,6,1600,12007;Tramvay Konak;28311;20242;718;1295;41;6;1600;12007
BİSİM,14,12,0,1,0,0,0,0;BİSİM;14;12;0;1;0;0;0;0
Eshot,314357,276417,6228,14793,165,160,23480,178533;Eshot;314357;276417;6228;14793;165;160;23480;178533
İzban,107244,64804,2295,3416,190,3,5258,36113;İzban;107244;64804;2295;3416;190;3;5258;36113
Izdeniz,26744,11021,416,1037,688,3,1361,7662;Izdeniz;26744;11021;416;1037;688;3;1361;7662
Izulas,73433,60452,1278,3415,28,53,4784,44726;Izulas;73433;60452;1278;3415;28;53;4784;44726
Metro,124180,88493,2449,4841,329,21,8302,44643;Metro;124180;88493;2449;4841;329;21;8302;44643
NOSTALJİK TRAMVAY,33,27,0,0,0,0,0,0;NOSTALJİK TRAMVAY;33;27;0;0;0;0;0;0
Seferihisar Mot. Taş. Kooperat,4116,2464,127,148,1,0,299,2860;Seferihisar Mot. Taş. Kooperat;4116;2464;127;148;1;0;299;2860
Teleferik,38,33,0,2,0,0,0,0;Teleferik;38;33;0;2;0;0;0;0
Tramvay Karşıyaka,12302,7252,239,754,29,2,286,7732;Tramvay Karşıyaka;12302;7252;239;754;29;2;286;7732
Tramvay Konak,29657,21460,694,1363,52,7,1528,12757;Tramvay Konak;29657;21460;694;1363;52;7;1528;12757
BİSİM,3,3,0,0,0,0,0,0;BİSİM;3;3;0;0;0;0;0;0
Eshot,303872,272783,5890,13404,138,90,23415,163671;Eshot;303872;272783;5890;13404;138;90;23415;163671
İzban,110098,67718,2373,3350,276,1,5206,36881;İzban;110098;67718;2373;3350;276;1;5206;36881
Izdeniz,16904,6441,320,710,251,0,1071,5105;Izdeniz;16904;6441;320;710;251;0;1071;5105
Izulas,72347,60429,1280,3254,25,23,4716,40850;Izulas;72347;60429;1280;3254;25;23;4716;40850
Metro,117106,82432,2386,4620,331,17,7990,42399;Metro;117106;82432;2386;4620;331;17;7990;42399
NOSTALJİK TRAMVAY,37,18,0,1,0,0,0,0;NOSTALJİK TRAMVAY;37;18;0;1;0;0;0;0
Seferihisar Mot. Taş. Kooperat,4131,2470,127,137,2,0,308,2777;Seferihisar Mot. Taş. Kooperat;4131;2470;127;137;2;0;308;2777
Teleferik,39,15,0,0,0,0,0,0;Teleferik;39;15;0;0;0;0;0;0
Tramvay Karşıyaka,8877,5715,201,527,17,0,283,4473;Tramvay Karşıyaka;8877;5715;201;527;17;0;283;4473
Tramvay Konak,27623,20163,626,1276,41,2,1654,11267;Tramvay Konak;27623;20163;626;1276;41;2;1654;11267
BİSİM,3,7,0,0,0,0,0,0;BİSİM;3;7;0;0;0;0;0;0
Eshot,312321,274911,5921,14237,164,148,23016,173230;Eshot;312321;274911;5921;14237;164;148;23016;173230
İzban,114565,68804,2377,3575,318,11,5271,37260;İzban;114565;68804;2377;3575;318;11;5271;37260
Izdeniz,19493,8399,359,819,433,1,1056,5874;Izdeniz;19493;8399;359;819;433;1;1056;5874
Izulas,74231,61475,1278,3283,29,20,4758,44115;Izulas;74231;61475;1278;3283;29;20;4758;44115
Metro,122142,85558,2320,4803,395,15,7813,43043;Metro;122142;85558;2320;4803;395;15;7813;43043
NOSTALJİK TRAMVAY,20,2,0,0,3,0,0,0;NOSTALJİK TRAMVAY;20;2;0;0;3;0;0;0
Seferihisar Mot. Taş. Kooperat,4466,2622,135,196,3,0,318,3199;Seferihisar Mot. Taş. Kooperat;4466;2622;135;196;3;0;318;3199
Teleferik,65,49,0,0,0,0,0,0;Teleferik;65;49;0;0;0;0;0;0
Tramvay Karşıyaka,9990,7083,199,527,28,0,325,5080;Tramvay Karşıyaka;9990;7083;199;527;28;0;325;5080
Tramvay Konak,30344,22487,738,1379,85,12,1681,12443;Tramvay Konak;30344;22487;738;1379;85;12;1681;12443
BİSİM,28,36,1,0,0,0,0,0;BİSİM;28;36;1;0;0;0;0;0
Eshot,266285,170292,2809,11615,243,132,16046,136283;Eshot;266285;170292;2809;11615;243;132;16046;136283
İzban,105815,59012,1652,3021,300,6,3407,31239;İzban;105815;59012;1652;3021;300;6;3407;31239
Izdeniz,24812,13273,553,781,1207,2,427,6274;Izdeniz;24812;13273;553;781;1207;2;427;6274
Izulas,74715,46174,615,3071,59,25,4130,38554;Izulas;74715;46174;615;3071;59;25;4130;38554
Metro,107457,65480,1774,4013,666,13,3662,33432;Metro;107457;65480;1774;4013;666;13;3662;33432
NOSTALJİK TRAMVAY,109,92,4,1,0,0,0,6;NOSTALJİK TRAMVAY;109;92;4;1;0;0;0;6
Seferihisar Mot. Taş. Kooperat,4340,2472,75,166,1,0,247,2606;Seferihisar Mot. Taş. Kooperat;4340;2472;75;166;1;0;247;2606
Teleferik,300,131,3,0,0,0,0,0;Teleferik;300;131;3;0;0;0;0;0
Tramvay Karşıyaka,12773,9822,282,556,68,0,308,5611;Tramvay Karşıyaka;12773;9822;282;556;68;0;308;5611
Tramvay Konak,29449,22410,651,1112,121,3,1071,10489;Tramvay Konak;29449;22410;651;1112;121;3;1071;10489
BİSİM,20,17,0,0,0,0,0,0;BİSİM;20;17;0;0;0;0;0;0
Eshot,176516,119466,1486,7348,135,112,10238,98156;Eshot;176516;119466;1486;7348;135;112;10238;98156
İzban,102312,61077,1286,2710,340,6,4098,30692;İzban;102312;61077;1286;2710;340;6;4098;30692
Izdeniz,14686,7191,166,299,826,3,193,2835;Izdeniz;14686;7191;166;299;826;3;193;2835
Izulas,47906,32173,285,1934,21,29,2717,26930;Izulas;47906;32173;285;1934;21;29;2717;26930
Metro,62481,45295,711,1830,389,14,2228,18230;Metro;62481;45295;711;1830;389;14;2228;18230
NOSTALJİK TRAMVAY,92,78,4,1,1,0,2,9;NOSTALJİK TRAMVAY;92;78;4;1;1;0;2;9
Seferihisar Mot. Taş. Kooperat,3207,1777,41,114,6,0,162,1977;Seferihisar Mot. Taş. Kooperat;3207;1777;41;114;6;0;162;1977
Teleferik,250,88,1,5,0,0,0,0;Teleferik;250;88;1;5;0;0;0;0
Tramvay Karşıyaka,7754,5845,130,300,31,0,167,3316;Tramvay Karşıyaka;7754;5845;130;300;31;0;167;3316
Tramvay Konak,17225,14018,188,475,103,5,647,5535;Tramvay Konak;17225;14018;188;475;103;5;647;5535
BİSİM,0,2,0,0,0,0,0,0;BİSİM;0;2;0;0;0;0;0;0
Eshot,313926,287560,5932,14246,145,108,23851,177605;Eshot;313926;287560;5932;14246;145;108;23851;177605
İzban,117794,74672,2436,3713,275,2,5600,39878;İzban;117794;74672;2436;3713;275;2;5600;39878
Izdeniz,18226,7184,306,702,381,0,1140,5590;Izdeniz;18226;7184;306;702;381;0;1140;5590
Izulas,74549,63583,1260,3329,29,36,5022,44578;Izulas;74549;63583;1260;3329;29;36;5022;44578
Metro,116580,91248,2144,4746,351,9,7945,42804;Metro;116580;91248;2144;4746;351;9;7945;42804
NOSTALJİK TRAMVAY,32,9,0,0,0,0,0,0;NOSTALJİK TRAMVAY;32;9;0;0;0;0;0;0
Seferihisar Mot. Taş. Kooperat,4375,2565,109,171,2,0,309,3053;Seferihisar Mot. Taş. Kooperat;4375;2565;109;171;2;0;309;3053
Teleferik,0,0,0,0,0,0,0,0;Teleferik;0;0;0;0;0;0;0;0
Tramvay Karşıyaka,8988,5875,211,478,27,1,280,4924;Tramvay Karşıyaka;8988;5875;211;478;27;1;280;4924
Tramvay Konak,28920,20511,665,1364,72,11,1706,12659;Tramvay Konak;28920;20511;665;1364;72;11;1706;12659
BİSİM,8,4,0,0,0,0,0,0;BİSİM;8;4;0;0;0;0;0;0
Eshot,322664,296526,6247,15250,126,138,24303,186571;Eshot;322664;296526;6247;15250;126;138;24303;186571
İzban,117510,75411,2504,3865,273,9,5599,41255;İzban;117510;75411;2504;3865;273;9;5599;41255
Izdeniz,20574,8292,337,828,442,3,1208,6690;Izdeniz;20574;8292;337;828;442;3;1208;6690
Izulas,76546,65281,1321,3476,41,49,4946,46429;Izulas;76546;65281;1321;3476;41;49;4946;46429
Metro,126638,99555,2487,5519,340,20,8272,47736;Metro;126638;99555;2487;5519;340;20;8272;47736
NOSTALJİK TRAMVAY,25,27,0,0,0,0,0,0;NOSTALJİK TRAMVAY;25;27;0;0;0;0;0;0
Seferihisar Mot. Taş. Kooperat,4482,2692,123,208,3,1,348,3349;Seferihisar Mot. Taş. Kooperat;4482;2692;123;208;3;1;348;3349
Teleferik,68,70,0,0,0,0,0,0;Teleferik;68;70;0;0;0;0;0;0
Tramvay Karşıyaka,9932,6553,198,543,17,3,323,5838;Tramvay Karşıyaka;9932;6553;198;543;17;3;323;5838
Tramvay Konak,30750,21937,736,1494,62,8,1797,13735;Tramvay Konak;30750;21937;736;1494;62;8;1797;13735
BİSİM,4,6,0,0,0,0,0,0;BİSİM;4;6;0;0;0;0;0;0
Eshot,318393,296903,6442,15034,118,191,24125,177400;Eshot;318393;296903;6442;15034;118;191;24125;177400
İzban,113803,74082,2430,3783,241,5,5499,39219;İzban;113803;74082;2430;3783;241;5;5499;39219
Izdeniz,19141,7649,344,821,296,3,1155,5997;Izdeniz;19141;7649;344;821;296;3;1155;5997
Izulas,75150,65844,1296,3479,31,56,4909,44475;Izulas;75150;65844;1296;3479;31;56;4909;44475
Metro,122000,97534,2381,4911,298,26,8252,43913;Metro;122000;97534;2381;4911;298;26;8252;43913
NOSTALJİK TRAMVAY,12,31,0,0,0,0,0,0;NOSTALJİK TRAMVAY;12;31;0;0;0;0;0;0
Seferihisar Mot. Taş. Kooperat,4235,2679,134,178,3,0,337,3009;Seferihisar Mot. Taş. Kooperat;4235;2679;134;178;3;0;337;3009
Teleferik,73,18,0,0,0,0,0,0;Teleferik;73;18;0;0;0;0;0;0
Tramvay Karşıyaka,12588,7316,252,809,51,3,339,8052;Tramvay Karşıyaka;12588;7316;252;809;51;3;339;8052
Tramvay Konak,29542,21268,727,1363,40,9,1732,12484;Tramvay Konak;29542;21268;727;1363;40;9;1732;12484
BİSİM,2,9,0,0,0,0,0,0;BİSİM;2;9;0;0;0;0;0;0
Eshot,320130,300365,6336,14809,125,204,23901,182479;Eshot;320130;300365;6336;14809;125;204;23901;182479
İzban,116815,75524,2513,3838,251,19,5420,41594;İzban;116815;75524;2513;3838;251;19;5420;41594
Izdeniz,19490,7939,340,798,246,2,1130,6130;Izdeniz;19490;7939;340;798;246;2;1130;6130
Izulas,75256,66052,1305,3418,27,52,4910,44410;Izulas;75256;66052;1305;3418;27;52;4910;44410
Metro,122990,98221,2451,5025,287,29,8046,45997;Metro;122990;98221;2451;5025;287;29;8046;45997
NOSTALJİK TRAMVAY,22,20,0,0,6,0,0,0;NOSTALJİK TRAMVAY;22;20;0;0;6;0;0;0
Seferihisar Mot. Taş. Kooperat,4297,2632,127,161,1,0,329,3110;Seferihisar Mot. Taş. Kooperat;4297;2632;127;161;1;0;329;3110
Teleferik,71,52,1,0,0,0,0,0;Teleferik;71;52;1;0;0;0;0;0
Tramvay Karşıyaka,10144,6574,222,565,22,0,323,5620;Tramvay Karşıyaka;10144;6574;222;565;22;0;323;5620
Tramvay Konak,31096,22957,755,1438,54,9,1740,13361;Tramvay Konak;31096;22957;755;1438;54;9;1740;13361
BİSİM,4,6,0,0,0,0,0,0;BİSİM;4;6;0;0;0;0;0;0
Eshot,319881,294720,6265,14500,189,182,23809,175932;Eshot;319881;294720;6265;14500;189;182;23809;175932
İzban,119126,75109,2544,3741,380,8,5360,38851;İzban;119126;75109;2544;3741;380;8;5360;38851
Izdeniz,18745,8169,321,740,361,2,1095,5540;Izdeniz;18745;8169;321;740;361;2;1095;5540
Izulas,76168,66290,1280,3296,40,40,4830,43945;Izulas;76168;66290;1280;3296;40;40;4830;43945
Metro,125839,99135,2415,4969,487,31,8018,44074;Metro;125839;99135;2415;4969;487;31;8018;44074
NOSTALJİK TRAMVAY,26,34,0,2,0,0,0,0;NOSTALJİK TRAMVAY;26;34;0;2;0;0;0;0
Seferihisar Mot. Taş. Kooperat,4542,2899,151,162,2,0,361,3293;Seferihisar Mot. Taş. Kooperat;4542;2899;151;162;2;0;361;3293
Teleferik,36,46,0,3,0,0,0,0;Teleferik;36;46;0;3;0;0;0;0
Tramvay Karşıyaka,10715,7999,231,654,36,1,340,5966;Tramvay Karşıyaka;10715;7999;231;654;36;1;340;5966
Tramvay Konak,30520,23474,730,1413,57,9,1797,12881;Tramvay Konak;30520;23474;730;1413;57;9;1797;12881
BİSİM,4,3,0,0,0,0,0,0;BİSİM;4;3;0;0;0;0;0;0
Eshot,253295,166516,2531,10338,272,151,16424,124539;Eshot;253295;166516;2531;10338;272;151;16424;124539
İzban,101876,58755,1436,2712,431,25,3656,28787;İzban;101876;58755;1436;2712;431;25;3656;28787
Izdeniz,16335,8247,345,507,647,3,307,4166;Izdeniz;16335;8247;345;507;647;3;307;4166
Izulas,72516,47986,576,3022,62,43,4110,36308;Izulas;72516;47986;576;3022;62;43;4110;36308
Metro,108545,71822,1598,3872,761,16,3846,32415;Metro;108545;71822;1598;3872;761;16;3846;32415
NOSTALJİK TRAMVAY,108,88,5,0,0,0,1,5;NOSTALJİK TRAMVAY;108;88;5;0;0;0;1;5
Seferihisar Mot. Taş. Kooperat,4311,2369,78,139,4,0,231,2396;Seferihisar Mot. Taş. Kooperat;4311;2369;78;139;4;0;231;2396
Teleferik,115,59,4,0,0,0,0,0;Teleferik;115;59;4;0;0;0;0;0
Tramvay Karşıyaka,11398,9039,271,418,48,1,288,4705;Tramvay Karşıyaka;11398;9039;271;418;48;1;288;4705
Tramvay Konak,27886,20547,581,1012,119,3,1090,9427;Tramvay Konak;27886;20547;581;1012;119;3;1090;9427
BİSİM,4,2,0,0,0,0,0,0;BİSİM;4;2;0;0;0;0;0;0
Eshot,175275,124312,1459,7253,280,102,10183,99119;Eshot;175275;124312;1459;7253;280;102;10183;99119
İzban,74957,44682,833,1844,374,19,2352,20559;İzban;74957;44682;833;1844;374;19;2352;20559
Izdeniz,15308,7775,172,355,831,7,203,3064;Izdeniz;15308;7775;172;355;831;7;203;3064
Izulas,47160,33148,319,1820,45,27,2538,26261;Izulas;47160;33148;319;1820;45;27;2538;26261
Metro,64038,49053,769,1842,527,14,2069,18531;Metro;64038;49053;769;1842;527;14;2069;18531
NOSTALJİK TRAMVAY,110,90,8,0,2,0,0,4;NOSTALJİK TRAMVAY;110;90;8;0;2;0;0;4
Seferihisar Mot. Taş. Kooperat,3107,1844,50,114,2,0,160,1930;Seferihisar Mot. Taş. Kooperat;3107;1844;50;114;2;0;160;1930
Teleferik,49,7,3,0,0,0,0,0;Teleferik;49;7;3;0;0;0;0;0
Tramvay Karşıyaka,9482,7683,162,364,32,0,222,3878;Tramvay Karşıyaka;9482;7683;162;364;32;0;222;3878
Tramvay Konak,16595,13417,220,494,57,2,700,5256;Tramvay Konak;16595;13417;220;494;57;2;700;5256
BİSİM,3,1,0,0,0,0,0,0;BİSİM;3;1;0;0;0;0;0;0
Eshot,336109,313821,6353,15201,279,200,25075,188842;Eshot;336109;313821;6353;15201;279;200;25075;188842
İzban,122922,78939,2542,3791,460,19,5870,41417;İzban;122922;78939;2542;3791;460;19;5870;41417
Izdeniz,22307,9119,360,979,661,3,1335,7270;Izdeniz;22307;9119;360;979;661;3;1335;7270
Izulas,81294,70043,1335,3594,60,74,5417,47304;Izulas;81294;70043;1335;3594;60;74;5417;47304
Metro,131104,111996,2373,5172,597,33,8404,47599;Metro;131104;111996;2373;5172;597;33;8404;47599
NOSTALJİK TRAMVAY,34,4,1,1,2,0,0,0;NOSTALJİK TRAMVAY;34;4;1;1;2;0;0;0
Seferihisar Mot. Taş. Kooperat,4818,2935,146,197,3,0,339,3264;Seferihisar Mot. Taş. Kooperat;4818;2935;146;197;3;0;339;3264
Teleferik,0,0,0,0,0,0,0,0;Teleferik;0;0;0;0;0;0;0;0
Tramvay Karşıyaka,10244,6755,237,560,31,2,355,5914;Tramvay Karşıyaka;10244;6755;237;560;31;2;355;5914
Tramvay Konak,31139,22693,672,1567,54,14,1853,13964;Tramvay Konak;31139;22693;672;1567;54;14;1853;13964
BİSİM,2,1,0,0,0,0,0,0;BİSİM;2;1;0;0;0;0;0;0
Eshot,323306,312864,6652,14506,195,179,24742,174684;Eshot;323306;312864;6652;14506;195;179;24742;174684
İzban,116927,76126,2626,3688,320,7,5783,39117;İzban;116927;76126;2626;3688;320;7;5783;39117
Izdeniz,20618,8420,387,763,447,4,1319,6171;Izdeniz;20618;8420;387;763;447;4;1319;6171
Izulas,76662,68088,1408,3322,46,57,5072,42951;Izulas;76662;68088;1408;3322;46;57;5072;42951
Metro,124616,107747,2571,5119,467,23,8161,44569;Metro;124616;107747;2571;5119;467;23;8161;44569
NOSTALJİK TRAMVAY,27,12,0,0,0,0,0,0;NOSTALJİK TRAMVAY;27;12;0;0;0;0;0;0
Seferihisar Mot. Taş. Kooperat,4630,2816,150,184,1,0,334,3177;Seferihisar Mot. Taş. Kooperat;4630;2816;150;184;1;0;334;3177
Teleferik,48,31,0,0,0,0,0,0;Teleferik;48;31;0;0;0;0;0;0
Tramvay Karşıyaka,10066,6586,257,597,34,0,342,5337;Tramvay Karşıyaka;10066;6586;257;597;34;0;342;5337
Tramvay Konak,30167,22821,822,1500,51,6,1798,12786;Tramvay Konak;30167;22821;822;1500;51;6;1798;12786
BİSİM,0,4,0,0,0,0,0,0;BİSİM;0;4;0;0;0;0;0;0
Eshot,339831,320538,6866,16076,204,222,25625,197301;Eshot;339831;320538;6866;16076;204;222;25625;197301
İzban,125144,80962,2734,4101,343,14,5966,43347;İzban;125144;80962;2734;4101;343;14;5966;43347
Izdeniz,22152,9487,397,962,368,0,1230,7129;Izdeniz;22152;9487;397;962;368;0;1230;7129
Izulas,79851,69897,1392,3664,47,79,5259,49041;Izulas;79851;69897;1392;3664;47;79;5259;49041
Metro,132548,115136,2623,5435,496,17,8511,48015;Metro;132548;115136;2623;5435;496;17;8511;48015
NOSTALJİK TRAMVAY,16,38,0,1,3,0,0,0;NOSTALJİK TRAMVAY;16;38;0;1;3;0;0;0
Seferihisar Mot. Taş. Kooperat,4775,2837,141,196,1,1,313,3280;Seferihisar Mot. Taş. Kooperat;4775;2837;141;196;1;1;313;3280
Teleferik,48,24,0,0,0,0,0,0;Teleferik;48;24;0;0;0;0;0;0
Tramvay Karşıyaka,14188,8683,304,847,37,1,381,8924;Tramvay Karşıyaka;14188;8683;304;847;37;1;381;8924
Tramvay Konak,31973,23659,791,1571,75,10,1836,14264;Tramvay Konak;31973;23659;791;1571;75;10;1836;14264
BİSİM,0,1,0,0,0,0,0,0;BİSİM;0;1;0;0;0;0;0;0
Eshot,320967,294711,6714,14521,165,171,24911,176283;Eshot;320967;294711;6714;14521;165;171;24911;176283
İzban,116817,72236,2627,3694,282,6,5712,40254;İzban;116817;72236;2627;3694;282;6;5712;40254
Izdeniz,17890,6830,281,710,286,3,1152,5671;Izdeniz;17890;6830;281;710;286;3;1152;5671
Izulas,75858,63878,1395,3339,39,51,5145,43059;Izulas;75858;63878;1395;3339;39;51;5145;43059
Metro,125436,104184,2581,5090,406,16,8196,45443;Metro;125436;104184;2581;5090;406;16;8196;45443
NOSTALJİK TRAMVAY,31,11,0,2,0,0,0,0;NOSTALJİK TRAMVAY;31;11;0;2;0;0;0;0
Seferihisar Mot. Taş. Kooperat,4503,2631,147,156,0,0,319,2983;Seferihisar Mot. Taş. Kooperat;4503;2631;147;156;0;0;319;2983
Teleferik,20,12,0,0,0,0,0,0;Teleferik;20;12;0;0;0;0;0;0
Tramvay Karşıyaka,9494,6420,191,515,22,2,319,4832;Tramvay Karşıyaka;9494;6420;191;515;22;2;319;4832
Tramvay Konak,29528,21423,727,1383,72,6,1770,12614;Tramvay Konak;29528;21423;727;1383;72;6;1770;12614
BİSİM,2,3,0,0,0,0,0,0;BİSİM;2;3;0;0;0;0;0;0
Eshot,318773,296652,6496,13764,165,187,24460,165839;Eshot;318773;296652;6496;13764;165;187;24460;165839
İzban,108125,68277,2537,3306,342,9,5143,34892;İzban;108125;68277;2537;3306;342;9;5143;34892
Izdeniz,17477,7522,297,702,357,2,1066,4916;Izdeniz;17477;7522;297;702;357;2;1066;4916
Izulas,73621,65487,1265,2997,38,43,4909,40783;Izulas;73621;65487;1265;2997;38;43;4909;40783
Metro,124387,103377,2562,4662,484,34,7954,42881;Metro;124387;103377;2562;4662;484;34;7954;42881
NOSTALJİK TRAMVAY,29,13,0,0,0,0,0,0;NOSTALJİK TRAMVAY;29;13;0;0;0;0;0;0
Seferihisar Mot. Taş. Kooperat,4438,2747,158,165,1,1,307,3075;Seferihisar Mot. Taş. Kooperat;4438;2747;158;165;1;1;307;3075
Teleferik,38,12,0,0,0,0,0,0;Teleferik;38;12;0;0;0;0;0;0
Tramvay Karşıyaka,9020,6541,224,439,23,0,316,4192;Tramvay Karşıyaka;9020;6541;224;439;23;0;316;4192
Tramvay Konak,24665,19223,610,1114,52,7,1278,10115;Tramvay Konak;24665;19223;610;1114;52;7;1278;10115
BİSİM,11,5,0,0,0,0,0,0;BİSİM;11;5;0;0;0;0;0;0
Eshot,257475,174276,2586,10170,419,110,16705,122863;Eshot;257475;174276;2586;10170;419;110;16705;122863
İzban,108913,63612,1552,2809,422,12,4038,30643;İzban;108913;63612;1552;2809;422;12;4038;30643
Izdeniz,17082,8902,351,491,609,0,326,4247;Izdeniz;17082;8902;351;491;609;0;326;4247
Izulas,72044,48340,595,2804,43,37,4167,34675;Izulas;72044;48340;595;2804;43;37;4167;34675
Metro,102786,70168,1474,3601,652,10,3560,30011;Metro;102786;70168;1474;3601;652;10;3560;30011
NOSTALJİK TRAMVAY,79,73,0,0,0,0,1,2;NOSTALJİK TRAMVAY;79;73;0;0;0;0;1;2
Seferihisar Mot. Taş. Kooperat,4429,2394,82,152,2,0,226,2243;Seferihisar Mot. Taş. Kooperat;4429;2394;82;152;2;0;226;2243
Teleferik,119,60,0,0,0,0,0,0;Teleferik;119;60;0;0;0;0;0;0
Tramvay Karşıyaka,11994,9731,227,469,38,0,305,4622;Tramvay Karşıyaka;11994;9731;227;469;38;0;305;4622
Tramvay Konak,28191,22353,663,929,116,3,1101,9507;Tramvay Konak;28191;22353;663;929;116;3;1101;9507
BİSİM,15,11,0,0,0,0,0,0;BİSİM;15;11;0;0;0;0;0;0
Eshot,184673,133822,1418,7147,258,131,10212,98096;Eshot;184673;133822;1418;7147;258;131;10212;98096
